epoch,lr,time,loss
356,1e-05,20:31:15,0.19337540670581485
357,1e-05,20:31:17,0.19317412700342096
358,1e-05,20:31:19,0.1935039661500765
359,1e-05,20:31:20,0.19362350974393927
360,1e-05,20:31:22,0.19344919142515762
361,1e-05,20:31:24,0.19343879948491635
362,1e-05,20:31:26,0.19348477734171826
363,1e-05,20:31:28,0.19314949214458466
364,1e-05,20:31:29,0.19331251084804535
365,1e-05,20:31:31,0.19360430797804956
366,1e-05,20:31:33,0.19345385613648788
367,1e-05,20:31:35,0.19374898594358694
368,1e-05,20:31:36,0.19339330818342126
369,1e-05,20:31:38,0.1934574959070786
