LineId,Month,Day,Time,User,Compoent,Content,EventId,EventTemplate,ParameterList
86,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    plen 24 (255.255.255.0),E19,<info> plen 24 (<*>),"[' <info>', '255.255.255.0']"
87,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    gateway 192.168.124.2,E20,<info> gateway <*>,"[' <info>', '192.168.124.2']"
88,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    server identifier 192.168.124.254,E21,<info> server identifier <*>,"[' <info>', '192.168.124.254']"
89,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    lease time 1800,E22,<info> lease time 1800,[' <info>']
90,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    nameserver '192.168.124.2',E23,<info> nameserver '<*>',"[' <info>', '192.168.124.2']"
91,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    domain name 'localdomain',E24,<info> domain name 'localdomain',[' <info>']
92,Jun,2,09:45:56,localhost,dhclient[741], bound to 192.168.124.130 -- renewal in 831 seconds.,E25,bound to <*> -- renewal in <*> seconds.,[]
93,Jun,2,09:45:56,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',E9,[system] Activating via systemd: service <*> <*>,[]
94,Jun,2,09:45:56,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E10,[system] Successfully activated service <*>,[]
95,Jun,2,09:45:56,localhost,nm-dispatcher, Dispatching action 'dhcp4-change' for eno16777984,E26,Dispatching action <*> for eno16777984,[]
96,Jun,2,09:50:59,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.hostname1' unit='dbus-org.freedesktop.hostname1.service',E9,[system] Activating via systemd: service <*> <*>,[]
97,Jun,2,09:50:59,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.hostname1',E10,[system] Successfully activated service <*>,[]
98,Jun,2,09:59:47,localhost,dhclient[741], DHCPREQUEST on eno16777984 to 192.168.124.254 port 67 (xid=0xc146ae0),E15,DHCPREQUEST on eno16777984 to <*> port 67 <*>,[]
99,Jun,2,09:59:47,localhost,dhclient[741], DHCPACK from 192.168.124.254 (xid=0xc146ae0),E16,DHCPACK from <*> <*>,[]
100,Jun,2,09:59:47,localhost,NetworkManager[570], <info>  (eno16777984): DHCPv4 state changed renew -> renew,E17,<info> (eno16777984): DHCPv4 state changed <*> -> <*>,"[' <info>', 'renew', '-> renew']"
101,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    address 192.168.124.130,E18,<info> address <*>,"[' <info>', '192.168.124.130']"
102,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    plen 24 (255.255.255.0),E19,<info> plen 24 (<*>),"[' <info>', '255.255.255.0']"
103,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    gateway 192.168.124.2,E20,<info> gateway <*>,"[' <info>', '192.168.124.2']"
104,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    server identifier 192.168.124.254,E21,<info> server identifier <*>,"[' <info>', '192.168.124.254']"
105,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    lease time 1800,E22,<info> lease time 1800,[' <info>']
106,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    nameserver '192.168.124.2',E23,<info> nameserver '<*>',"[' <info>', '192.168.124.2']"
107,Jun,2,09:59:47,localhost,NetworkManager[570], <info>    domain name 'localdomain',E24,<info> domain name 'localdomain',[' <info>']
108,Jun,2,09:59:47,localhost,dhclient[741], bound to 192.168.124.130 -- renewal in 874 seconds.,E25,bound to <*> -- renewal in <*> seconds.,[]
109,Jun,2,09:59:47,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',E9,[system] Activating via systemd: service <*> <*>,[]
110,Jun,2,09:59:47,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E10,[system] Successfully activated service <*>,[]
111,Jun,2,09:59:47,localhost,nm-dispatcher, Dispatching action 'dhcp4-change' for eno16777984,E26,Dispatching action <*> for eno16777984,[]
112,Jun,2,10:01:01,localhost,systemd, Starting Paths.,E5,Starting <*>,[]
113,Jun,2,10:01:01,localhost,systemd, Reached target Paths.,E6,Reached target <*>,[]
114,Jun,2,10:01:01,localhost,systemd, Starting Timers.,E5,Starting <*>,[]
115,Jun,2,10:01:01,localhost,systemd, Reached target Timers.,E6,Reached target <*>,[]
116,Jun,2,10:01:01,localhost,systemd, Starting Sockets.,E5,Starting <*>,[]
117,Jun,2,10:01:01,localhost,systemd, Reached target Sockets.,E6,Reached target <*>,[]
118,Jun,2,10:01:01,localhost,systemd, Starting Basic System.,E3,<*> Basic System.,[' Starting']
119,Jun,2,10:01:01,localhost,systemd, Reached target Basic System.,E4,<*> target Basic System.,[' Reached']
120,Jun,2,10:01:01,localhost,systemd, Starting Default.,E5,Starting <*>,[]
121,Jun,2,10:01:01,localhost,systemd, Reached target Default.,E6,Reached target <*>,[]
122,Jun,2,10:01:01,localhost,systemd, Startup finished in 12ms.,E34,Startup finished in <*>,[]
123,Jun,2,10:01:01,localhost,kernel, [ 6269.142262] hpet1: lost 1 rtc interrupts,E35,[ <*> hpet1: lost <*> rtc interrupts,[]
